id,username,counter,from_messages,channel_request,channel_req_targeted_by,source
1426315759,PLANDEMIA_MUNDIAL_COVID,180,179,1,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1317143701,PlandemiaMundialCovid2021,21,19,2,{'channels': ['PLANDEMIA_MUNDIAL_COVID']},['PLANDEMIA_MUNDIAL_COVID']
1321647218,adventistahoy,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1111547079,apagalatvya,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1602946502,oeoeeq,2,2,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1324151809,mundosaha,4,4,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1536031244,laresistenciamadrid,3,3,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1593835888,CriptonoticiasDespertarALaLuz,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1784945371,elindividualista,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1536105289,juanorweliano1984,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1422084610,Em_71,2,2,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1667559671,mxvdp,3,3,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1245217434,SOSMUNDO,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1392083514,Rocknat3,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1423174466,wide2buenosaires,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1309126418,AmparazoNacionalVacunaCovid,4,4,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1188509220,jorgeguerra_actualidad,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1071698187,jwjwvdh,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1481018703,DRAMARQUEZELI,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1176710398,TLV1_Ok,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1675141968,TLV1chat,1,0,1,{'channels': ['TLV1_Ok']},['PLANDEMIA_MUNDIAL_COVID']
1463394128,raulmacia,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1484642209,medicosporlaverdadmexico,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
1228946795,HiddenSender,1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
