Tweet id,Contenido,Fecha,Categoria,Autor username,Autor displayname,Autor location,Link,Likes,Respuestas,Retweets,Hashtags,Mentioned users,Sentimiento,Emocion,Lang
1728609030967312739,que bronca no ser la persona favorita de nadie https://t.co/AJX4YQ07BH,2023-11-26 02:58:03+00:00,Tweet,aagudz_,♰,en la ciudad del amor,https://twitter.com/aagudz_/status/1728609030967312739,37167,27,8475,[],[],N,Enojo,es
1728840105937559791,bueno pero sabes lo q mas bronca me da,2023-11-26 18:16:16+00:00,Tweet,nahiaraosudr,َ,,https://twitter.com/nahiaraosudr/status/1728840105937559791,7308,16,1855,[],[],N,Enojo,es
1724880004213887244,"#ElDeporteQueQueremos | Su apellido es sinónimo de automovilismo. Philippe Michelet sigue el legado de su padre, Jean Pierre, y su abuelo, Pascal. https://t.co/lEvkJxX66J https://t.co/M6rNM1dM4c",2023-11-15 20:00:14+00:00,Tweet,Primicias,Primicias,Quito,https://twitter.com/Primicias/status/1724880004213887244,1072,152,73,['ElDeporteQueQueremos'],[],N,Enojo,es
1727875035103142388,"O qroier sendo o pai q da bronca no Pepito e o qcell o q fala ""mas também não é assim né?"" E fica do lado do Pepito e consola ele da bronca.
Enquanto com o Richas é ao contrário, o qcell q da bronca e o qroier q consola https://t.co/IkehOhUmz7",2023-11-24 02:21:25+00:00,Tweet,qguapoduer,bina 🦈,she⋆him ,https://twitter.com/qguapoduer/status/1727875035103142388,1233,4,163,[],[],N,Enojo,pt
1726708919853252890,que bronca me da https://t.co/B081WHz2tm,2023-11-20 21:07:41+00:00,Tweet,EzeChilo,EzeChilo,Buenos Aires,https://twitter.com/EzeChilo/status/1726708919853252890,1914,2,179,[],[],N,Enojo,pt
1729500611995992223,"O LeBron deu a entrevista pós-jogo mais fria que eu já vi.

A SENHORA bronca que ele deve ter dado para o time do Lakers é sacanagem.
https://t.co/rHzQYdhwzw",2023-11-28 14:00:53+00:00,Tweet,NBALegendada,NBA LEGENDADA 🇧🇷,Contato! 👉,https://twitter.com/NBALegendada/status/1729500611995992223,1108,29,44,[],[],N,Enojo,pt
1729542828315845114,"El veterano estadounidense entrenado para la guerra y no se que más 🙄 James Vásquez, y supuestamente luchó en Ucrania, buscó bronca con un Chavo que lleva la vida y escuela en las calles en el metro y el chavito no se intimidó pues es un mini Mike Tyson en proseso  y para ser ex marine, navy seal, green beret tendría o no se que fue tendría que ser un tipo de cuidado, pero este salió soplado",2023-11-28 16:48:38+00:00,Tweet,salvatore7mas,⚔️Vendetta⚔️,Mars and Uranus ⭐️,https://twitter.com/salvatore7mas/status/1729542828315845114,12,5,4,[],[],N,Enojo,es
1729235820790595668,que bronca cuando estudias y desprobas :),2023-11-27 20:28:41+00:00,Tweet,malegonzaaa,male🧡,,https://twitter.com/malegonzaaa/status/1729235820790595668,318,3,60,[],[],N,Enojo,es
1729610202859618435,Join TG channel and have fun!!!!,2023-11-28 21:16:21+00:00,Tweet,Chrissy04071986,Christine Fischer,"Bernau am Chiemsee, Deutschlan",https://twitter.com/Chrissy04071986/status/1729610202859618435,151,8,7,[],[],N,Enojo,en
1728486165764825153,la bronca qe me da esta mogolica,2023-11-25 18:49:50+00:00,Tweet,mdbivan_,",",,https://twitter.com/mdbivan_/status/1728486165764825153,2609,2,775,[],[],N,Enojo,es
1726971776750825651,q bronca como no me dura nada la plata,2023-11-21 14:32:11+00:00,Tweet,Lour_ortiiz,Lour Ortiz,,https://twitter.com/Lour_ortiiz/status/1726971776750825651,7341,1,2869,[],[],N,Enojo,es
