Tweet id,Contenido,Fecha,Categoria,Autor username,Autor displayname,Autor location,Link,Likes,Respuestas,Retweets,Hashtags,Mentioned users,Topico
1026177630809337857,"Para mi que la persona que sea hincha de Boca y no ame a Juan Roman Riquelme, debería tener pena de muerte.",2018-08-05 18:46:27+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1026177630809337857,31881,772,1876,[],[],Boca
1727400500902117759,"Qué lindo que es ganarle a Brasil, la puta madre. Ahora entiendo porque mi viejo me dice siempre que el gol que más grito de la Selección es el de Caniggia a Brasil. Me dieron muchas ganas de un clásico sudamericano en un Mundial, eh. El que no se dio ni en 2014 ni en 2022…",2023-11-22 18:55:47+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727400500902117759,22512,151,654,[],[],Boca
1722240805065355606,"¡Jugá a la Ruleta! 
Divertite con esta conocida Ruleta, pero ahora virtual en formato 3D. Apostá y ganá a tu estilo y estrategia.",2023-11-08 13:13:00+00:00,Tweet,CodereArgentina,Codere Argentina,Argentina,https://twitter.com/CodereArgentina/status/1722240805065355606,241,18,12,[],[],Boca
1727324949273100435,"Vem Magalenha rojão, traz a lenha pro fogão, vem fazer armação
Hoje é um dia de sol, alegria de coió, é curtir o verão

Te te te te te te te
Te te te te te te te
Te te te te te te te",2023-11-22 13:55:34+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727324949273100435,14290,105,647,[],[],Boca
1727160212547944815,"A MESSI LO VAS A VER
LA COPA NOS VA A TRAER
MARADONA ES MAS GRANDE QUE PELE",2023-11-22 03:00:58+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727160212547944815,35108,179,3476,[],[],Boca
1727159648770527617,😘 https://t.co/MLhxrxFLPK,2023-11-22 02:58:43+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727159648770527617,45659,465,3445,[],[],Boca
1727159435272089860,"Gracias, muchachos. Una vez más. 🇦🇷 https://t.co/D8tGj0jJk8",2023-11-22 02:57:53+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727159435272089860,39253,118,3551,[],[],Boca
1727128882468553038,"VAMOS CARAJO EH, VAMOS",2023-11-22 00:56:28+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727128882468553038,8798,93,286,[],[],Boca
1727127670687686825,"Siempre lo mismo en Brasil, siempre lo mismo en Río de Janeiro. A nivel clubes, a nivel selección. Evidentemente Brasil tiene un problema con la organización, se hacen los moralistas y son los primeros en incitar la violencia. Perfecta la decisión de Messi. Que se vayan a cagar.",2023-11-22 00:51:39+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727127670687686825,61752,337,6393,[],[],Boca
1727127027508232459,"Emiliano Damian Martinez.

 https://t.co/WBWMfvOTxZ",2023-11-22 00:49:06+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727127027508232459,122587,773,20781,[],[],Boca
1727126265763622978,"RT @chomickirio: El país que más llora xenofobia termina siendo el único de toda Sudamérica que no puede recibir a extranjeros en paz. Siempre con ayuda de la policía, claro.",2023-11-22 00:46:04+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727126265763622978,0,0,9741,[],"[UserRef(id=828987998188498944, username='chomickirio', displayname='𝕮𝖍𝖔𝖒𝖎 🇦🇷', _type='snscrape.modules.twitter.UserRef')]",Boca
1727125312633504171,"El país que más llora xenofobia termina siendo el único de toda Sudamérica que no puede recibir a extranjeros en paz. Siempre con ayuda de la policía, claro.",2023-11-22 00:42:17+00:00,Tweet,chomickirio,𝕮𝖍𝖔𝖒𝖎 🇦🇷,"La Plata, Argentina",https://twitter.com/chomickirio/status/1727125312633504171,49782,129,9741,[],[],Boca
1727123350063919335,Siempre lo mismo con nuestros “hermanos”…,2023-11-22 00:34:29+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1727123350063919335,38371,524,2967,[],[],Boca
1724426771834032395,"Strategy, RPG, MMO and endless action — see what Hero Wars has to offer 🔥🔥",2023-11-14 13:59:15+00:00,Tweet,HeroWarsWeb,Hero Wars,,https://twitter.com/HeroWarsWeb/status/1724426771834032395,1030,107,54,[],[],Boca
1726931563110404143,Me encontré con esta imagen. Lpm. Es increíble que esto parezca imposible de que suceda cuándo debería ser lo más normal del mundo. https://t.co/DU87ksdnbU,2023-11-21 11:52:24+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1726931563110404143,25650,602,1101,[],[],Boca
1726933282237944177,"No hice yo la tabla boludos, ví la imagen y la subí. Me estan bardeando porque sus equipos pelean el descenso. Es un ejemplo! Lpm.",2023-11-21 11:59:14+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1726933282237944177,6690,55,38,[],[],Boca
1725309009966534682,Esto termina a las piñas y con dos expulsados.,2023-11-17 00:24:57+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1725309009966534682,22393,367,481,[],[],Boca
1725276302280667239,Bien o mal anulado el gol de Ecuador? 🤔,2023-11-16 22:14:59+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1725276302280667239,4481,318,33,[],[],Boca
1723819979915624667,Gracias MIGUEL MERENTIEL !!!,2023-11-12 21:48:04+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1723819979915624667,17313,123,796,[],[],Boca
1723771465487593738,"Raheem Sterling entra en la sección de jugadores indescifrables. Por momentos parece que no va más, y después te regala este partidazo contra el mejor equipo del mundo.

La defensa del City, por lo menos hoy, un desastre.

Qué espectáculo de partido, por favor. Gracias FUTBOL!",2023-11-12 18:35:18+00:00,Tweet,DavooXeneizeJRR,Davoo Xeneize,,https://twitter.com/DavooXeneizeJRR/status/1723771465487593738,24109,184,640,[],[],Boca
